Metrics: (precision, recall, fbeta)
General performance: (0.7388767323121809, 0.6448122215149587, 0.6886471787899389) 

------------ feature: workclass ------------
feature: workclass, value: Private
metrics: (0.7351598173515982, 0.6433566433566433, 0.6862013851891315)
feature: workclass, value: State-gov
metrics: (0.7058823529411765, 0.6575342465753424, 0.6808510638297872)
feature: workclass, value: Self-emp-not-inc
metrics: (0.6929824561403509, 0.5031847133757962, 0.5830258302583026)
feature: workclass, value: Self-emp-inc
metrics: (0.7787610619469026, 0.7457627118644068, 0.7619047619047619)
feature: workclass, value: Federal-gov
metrics: (0.7746478873239436, 0.7857142857142857, 0.7801418439716311)
feature: workclass, value: Local-gov
metrics: (0.780952380952381, 0.7454545454545455, 0.7627906976744186)
feature: workclass, value: ?
metrics: (0.7083333333333334, 0.40476190476190477, 0.5151515151515152)
feature: workclass, value: Without-pay
metrics: (1.0, 1.0, 1.0)

------------ feature: education ------------
feature: education, value: Some-college
metrics: (0.677570093457944, 0.5234657039711191, 0.5906313645621182)
feature: education, value: HS-grad
metrics: (0.6422413793103449, 0.4318840579710145, 0.5164644714038128)
feature: education, value: Bachelors
metrics: (0.7516778523489933, 0.7466666666666667, 0.7491638795986622)
feature: education, value: Masters
metrics: (0.8317757009345794, 0.8599033816425121, 0.8456057007125891)
feature: education, value: Assoc-acdm
metrics: (0.7222222222222222, 0.5531914893617021, 0.6265060240963856)
feature: education, value: 7th-8th
metrics: (1.0, 0.16666666666666666, 0.2857142857142857)
feature: education, value: 11th
metrics: (1.0, 0.2727272727272727, 0.42857142857142855)
feature: education, value: Assoc-voc
metrics: (0.6727272727272727, 0.5873015873015873, 0.6271186440677966)
feature: education, value: Prof-school
metrics: (0.8247422680412371, 0.9523809523809523, 0.883977900552486)
feature: education, value: 9th
metrics: (1.0, 0.3333333333333333, 0.5)
feature: education, value: 5th-6th
metrics: (1.0, 0.5, 0.6666666666666666)
feature: education, value: 10th
metrics: (0.2857142857142857, 0.16666666666666666, 0.2105263157894737)
feature: education, value: Doctorate
metrics: (0.85, 0.8947368421052632, 0.8717948717948718)
feature: education, value: 12th
metrics: (1.0, 0.4, 0.5714285714285715)
feature: education, value: 1st-4th
metrics: (1.0, 1.0, 1.0)
feature: education, value: Preschool
metrics: (1.0, 1.0, 1.0)

------------ feature: marital-status ------------
feature: marital-status, value: Divorced
metrics: (0.7547169811320755, 0.3883495145631068, 0.5128205128205128)
feature: marital-status, value: Married-civ-spouse
metrics: (0.7314148681055156, 0.6952887537993921, 0.7128944292948968)
feature: marital-status, value: Never-married
metrics: (0.8301886792452831, 0.42718446601941745, 0.5641025641025641)
feature: marital-status, value: Separated
metrics: (1.0, 0.42105263157894735, 0.5925925925925926)
feature: marital-status, value: Widowed
metrics: (1.0, 0.15789473684210525, 0.2727272727272727)
feature: marital-status, value: Married-spouse-absent
metrics: (1.0, 0.375, 0.5454545454545454)
feature: marital-status, value: Married-AF-spouse
